Date,High,Low,Open,Close,Volume,Adj Close,Name,Symbol
2020-01-02,112.04000091552734,109.41999816894531,112.04000091552734,110.37999725341797,906900.0,107.18182373046875,Atmos Energy,ATO
2020-01-03,111.31999969482422,110.05999755859375,110.05999755859375,111.11000061035156,724200.0,107.89067840576172,Atmos Energy,ATO
2020-01-06,111.68000030517578,110.88999938964844,110.95999908447266,110.95999908447266,822900.0,107.74502563476562,Atmos Energy,ATO
2020-01-07,112.0199966430664,110.43000030517578,112.0,111.69999694824219,875500.0,108.46356201171875,Atmos Energy,ATO
2020-01-08,111.70999908447266,110.66000366210938,111.70999908447266,110.73999786376953,905100.0,107.53138732910156,Atmos Energy,ATO
2020-01-09,111.51000213623047,110.55000305175781,110.58000183105469,111.0999984741211,834600.0,107.88095092773438,Atmos Energy,ATO
2020-01-10,111.79000091552734,111.19000244140625,111.37999725341797,111.38999938964844,543400.0,108.16255187988281,Atmos Energy,ATO
2020-01-13,112.81999969482422,111.4000015258789,111.4000015258789,112.54000091552734,403400.0,109.27924346923828,Atmos Energy,ATO
2020-01-14,112.87999725341797,112.08999633789062,112.61000061035156,112.80999755859375,601400.0,109.54141235351562,Atmos Energy,ATO
2020-01-15,113.97000122070312,112.9800033569336,113.0199966430664,113.75,561900.0,110.45417785644531,Atmos Energy,ATO
2020-01-16,114.95999908447266,113.73999786376953,114.02999877929688,114.70999908447266,785000.0,111.38636016845703,Atmos Energy,ATO
2020-01-17,115.08999633789062,114.04000091552734,114.80000305175781,114.9800033569336,602100.0,111.64855194091797,Atmos Energy,ATO
2020-01-21,116.11000061035156,114.55000305175781,115.13999938964844,115.91999816894531,925500.0,112.5613021850586,Atmos Energy,ATO
2020-01-22,116.7300033569336,115.72000122070312,116.66000366210938,116.08999633789062,690900.0,112.72637176513672,Atmos Energy,ATO
2020-01-23,116.93000030517578,115.87999725341797,116.04000091552734,116.87999725341797,672300.0,113.49349212646484,Atmos Energy,ATO
2020-01-24,117.66000366210938,116.58999633789062,117.05999755859375,117.37999725341797,699400.0,113.97899627685547,Atmos Energy,ATO
2020-01-27,117.9800033569336,115.93000030517578,117.16999816894531,116.38999938964844,1026800.0,113.01768493652344,Atmos Energy,ATO
2020-01-28,117.83999633789062,116.05000305175781,116.54000091552734,116.30999755859375,599000.0,112.94000244140625,Atmos Energy,ATO
2020-01-29,116.63999938964844,115.63999938964844,116.30999755859375,116.30999755859375,607700.0,112.94000244140625,Atmos Energy,ATO
2020-01-30,117.5199966430664,115.91000366210938,116.23999786376953,117.37999725341797,577200.0,113.97899627685547,Atmos Energy,ATO
2020-01-31,117.7300033569336,115.81999969482422,116.97000122070312,117.02999877929688,3787700.0,113.6391372680664,Atmos Energy,ATO
2020-02-03,118.73999786376953,117.0,117.4000015258789,118.66999816894531,1290100.0,115.23161315917969,Atmos Energy,ATO
2020-02-04,119.19999694824219,117.22000122070312,118.5,117.22000122070312,974000.0,113.82363891601562,Atmos Energy,ATO
2020-02-05,118.95999908447266,115.0,116.5199966430664,118.27999877929688,1167600.0,114.85291290283203,Atmos Energy,ATO
2020-02-06,118.62000274658203,117.12999725341797,118.62000274658203,117.66000366210938,1362900.0,114.25089263916016,Atmos Energy,ATO
2020-02-07,118.13999938964844,117.1500015258789,117.80999755859375,117.58999633789062,817300.0,114.18290710449219,Atmos Energy,ATO
2020-02-10,118.3499984741211,117.69000244140625,117.91999816894531,118.30999755859375,656400.0,114.88204956054688,Atmos Energy,ATO
2020-02-11,119.68000030517578,118.4800033569336,118.62000274658203,119.36000061035156,502100.0,115.9016342163086,Atmos Energy,ATO
2020-02-12,119.22000122070312,117.66999816894531,118.87999725341797,117.94000244140625,957200.0,114.52277374267578,Atmos Energy,ATO
2020-02-13,119.55999755859375,117.81999969482422,117.93000030517578,119.5,618900.0,116.0375747680664,Atmos Energy,ATO
2020-02-14,120.52999877929688,117.19999694824219,118.83000183105469,120.44999694824219,1290800.0,116.96004486083984,Atmos Energy,ATO
2020-02-18,121.08000183105469,120.26000213623047,120.66000366210938,120.56999969482422,939300.0,117.07656860351562,Atmos Energy,ATO
2020-02-19,120.4800033569336,119.5999984741211,120.47000122070312,119.5999984741211,693800.0,116.13467407226562,Atmos Energy,ATO
2020-02-20,119.77999877929688,118.83999633789062,119.73999786376953,119.2300033569336,894500.0,115.775390625,Atmos Energy,ATO
2020-02-21,119.63999938964844,118.52999877929688,118.81999969482422,118.69999694824219,967000.0,115.81929779052734,Atmos Energy,ATO
2020-02-24,118.27999877929688,116.08999633789062,117.93000030517578,116.22000122070312,967100.0,113.39949035644531,Atmos Energy,ATO
2020-02-25,117.0999984741211,113.69000244140625,116.62000274658203,113.73999786376953,830200.0,110.97967529296875,Atmos Energy,ATO
2020-02-26,115.23999786376953,112.05000305175781,113.9800033569336,112.08999633789062,1023200.0,109.36971282958984,Atmos Energy,ATO
